매물ID,거래유형,방종류,룸타입,제목,설명,보증금(만원),월세(만원),관리비(만원),전용면적(m²),층수,총층수,욕실수,방향,입주가능일,승강기,주차여부,주소(법정동),지번주소,위도,경도,옵션,상태,조회수,등록일,수정일,건물유형,역까지_도보거리_m,역까지_도보시간_분,매물부터_동입1출_시간_분,매물부터_충무로6출_시간_분,가장가까운역
40306674,월세,원룸,분리형원룸,"주차O, 공간 활용도 좋은 깔끔한 주방분리형 원룸, 즉시 입주 가능 ","?? 매물 정보 ??
- 주방이 분리된 원룸으로 조리 시 음식냄새 걱정 없습니다.
- 입주는 언제든 가능합니다. 
- 에어컨, 냉장고, 세탁기, 인덕션, 전자레인지 등 기본 가전품이 모두 구비되어 있습니다.
- 주차 가능합니다.
- 공간 활용이 용이합니다.


*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.

위반건축물 여부 확인일 : 24년 12월 26일",1000,46,0,16.5,반지하,3,1,NW,즉시 입주 가능,FALSE,주차 가능,서울시 강북구 미아동,강북구 미아동 307-76,37.62396645,127.0226955,"에어컨, 냉장고, 세탁기, 인덕션, 전자레인지, 싱크대",open,0,2017.02.23,2025/02/10 19:40,다중주택,566,7,29,26,미아역
41744227,월세,원룸,분리형원룸,"아늑하고 깔끔한 분리형 원룸, 즉시 입주 가능, 주차 가능, 풀옵션 완비","?? 이 집의 특징 ??
- 분리형 원룸으로 공간 활용이 좋습니다.
- 싱크대, 에어컨, 냉장고, 세탁기 등의 옵션이 구비되어 있습니다.
- 깔끔하고 깨끗한 상태로 관리되어 있어요.
- 즉시 입주가 가능하여 빠르게 이사를 원하시는 분들에게 좋습니다.
- 주차 가능합니다.

*참고용사진 : 구조참고용 현재내부 상태는 상이할 수 있습니다.

위반건축물 여부 확인일 : 24년 12월 27일",5000,160,8,29.72,4,5,1,NW,즉시 입주 가능,TRUE,주차 가능,서울시 서초구 방배동,서초구 방배동 437-22,37.48225141,126.9835354,"에어컨, 냉장고, 세탁기, 인덕션, 신발장, 싱크대",open,0,2021.08.20,2024/12/27 12:00,다세대주택,651,11,35,32,총신대입구(이수)역
42162887,월세,원룸,분리형원룸,즉시 입주 가능한 분리형 1.5룸,"?? 매물의 특징 ??
? 분리형 1룸 1거실 구조로 실용적인 공간 활용이 가능합니다.
? 즉시 입주 가능하여 바로 이사할 수 있습니다.
? 주방에는 싱크대가 설치되어 있어 편리한 조리가 가능합니다.
? 도배를 새로 해서 깔끔한 상태입니다.

*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.

위반건축물 여부 확인일 : 24년 12월 27일",1000,50,0,40,반지하,2,1,S,즉시 입주 가능,FALSE,주차 불가능,서울시 은평구 대조동,은평구 대조동 212-29,37.61247332,126.9185857,"가스레인지, 신발장, 싱크대",open,0,1987.07.08,2024/12/27 15:47,단독주택,955,12,34,31,연신내역
42184435,전세,원룸,오픈형원룸,"수유역 인근, 채광 좋은 오픈형 원룸, 즉시 입주 가능","- 전세대출불가
?? 매물 하이라이트 ??
- 수유역에서 도보 10분 거리, 큰 길 옆이라 안전한 귀가 보장
- 주택가에 위치해 조용하고 쾌적한 휴식 가능
- 편의시설(편의점, 맛집, 영화관, 노래방 등) 다수 인접, 생활 편리

?? 구조 및 옵션 ??
- 직사각형 구조의 큰 오픈형 원룸으로 공간 활용이 뛰어남
- 채광이 좋아 환하고 습기 걱정 없음
- 싱크대, 에어컨, 냉장고, 세탁기, 인덕션 등 필수 가전 완비
- 인터넷 설치 완료, 바로 사용 가능
- 위반건축물임.

*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.",8000,0,6,18,3,5,1,E,즉시 입주 가능,TRUE,주차 가능,서울시 강북구 수유동,강북구 수유동 9-41,37.63819731,127.0204487,"에어컨, 냉장고, 세탁기, 인덕션, 전자레인지, 책상, 침대, 싱크대",open,0,2018.12.24,2025/01/02 10:56,다가구주택,638,9,33,30,수유역
42276203,월세,원룸,오픈형원룸,"즉시 입주 가능한 오픈형 원룸, 에어컨 및 가전제품 완비","?? 매물의 장점 ??
? 오픈형원룸으로 활용도 높음
? 즉시입주 가능하여 빠른 입주 가능
? 에어컨, 냉장고, 세탁기, 싱크대 등이 구비되어 있어 편리함

*참고사항 : 건축물대장상 주차정보와 실제주차가능여부는 상이할 수 있습니다.

*참고용사진 : 구조참고용 현재내부 상태는 상이할 수 있습니다.

*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.

위반건축물 여부 확인일 : 24년 12월 30일",1000,40,5,16,1,4,1,SW,즉시 입주 가능,FALSE,주차 불가능,서울시 은평구 대조동,은평구 대조동 195-13,37.61649269,126.9220103,"에어컨, 냉장고, 세탁기, 가스레인지, 싱크대",open,0,2011.08.31,2024/12/30 14:16,고시원,426,6,28,25,연신내역
42623286,전세,원룸,분리형원룸,"깔끔하고 심플한 분리형 원룸, 즉시 입주 가능, 주차 가능",#NAME?,45000,0,8,29.72,4,5,1,N,즉시 입주 가능,TRUE,주차 가능,서울시 서초구 방배동,서초구 방배동 437-22,37.48225141,126.9835354,"에어컨, 세탁기, 싱크대",open,0,2021.08.20,2024/10/29 15:04,다세대주택,651,11,35,32,총신대입구(이수)역
42639797,월세,원룸,오픈형원룸,"가성비좋은 깔끔한 오픈형 원룸, 즉시 입주 가능, 풀옵션","- 가성비좋은 깔끔한 원룸

*참고사항 : 건축물대장상 주차정보와 실제주차가능여부는 상이할 수 있습니다.

?? 이 집의 특징 ??
- 오픈형 원룸으로 공간 활용이 좋습니다.
- 싱크대, 에어컨, 냉장고, 세탁기 등의 옵션이 구비되어 있습니다.
- 깔끔하고 깨끗한 상태로 관리되어 있어요.
- 즉시 입주가 가능하여 빠르게 이사를 원하시는 분들에게 좋습니다.

*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.",500,30,7,16.5,반지하,3,1,SW,즉시 입주 가능,FALSE,주차 불가능,서울시 관악구 남현동,관악구 남현동 1054-32,37.47503965,126.9720703,"에어컨, 냉장고, 세탁기, 인덕션, 옷장, 싱크대",open,0,2011.07.14,2024/11/09 1:22,다중주택,932,13,39,36,사당역
42744487,월세,원룸,오픈형원룸,"오픈형 원룸, 주차 가능한 매물","? 매물의 특징 ?
- 오픈형 원룸으로 공간 활용이 효율적입니다.
- 주차가능하여 차량 이용이 편리합니다. (주차비 별도)
- 에어컨, 냉장고, 세탁기, 싱크대 등이 구비되어 편의 시설이 완비되어 있습니다.
- 반려동물도 가능하여 편안한 삶을 누릴 수 있습니다. (원상복구 조건)

*참고용사진 : 구조참고용 현재내부 상태는 상이할 수 있습니다.

위반건축물 여부 확인일 : 24년 12월 31일",500,40,3,14.72,4,5,1,W,즉시 입주 가능,FALSE,주차 가능,서울시 은평구 대조동,은평구 대조동 28-5,37.60992487,126.9268349,"에어컨, 냉장고, 세탁기, 가스레인지, 신발장, 싱크대",open,0,2002.08.28,2024/12/31 10:48,다세대주택,380,6,26,23,불광역
42834569,월세,원룸,분리형원룸,"깔끔하고 심플한 분리형 원룸, 즉시 입주 가능, 풀옵션 완비, 남성역 인접","- 남성역 가까운 1.5룸

*참고사항 : 건축물대장상 주차정보와 실제주차가능여부는 상이할 수 있습니다.
*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.

?? 이 집의 특징 ??
- 분리형 원룸으로 공간 활용이 좋습니다.
- 싱크대, 에어컨, 냉장고, 세탁기 등의 옵션이 구비되어 있습니다.
- 깔끔하고 깨끗한 상태로 관리되어 있어요.
- 즉시 입주가 가능하여 빠르게 이사를 원하시는 분들에게 좋습니다.",1000,70,8,29,반지하,3,1,E,즉시 입주 가능,FALSE,주차 불가능,서울시 동작구 사당동,동작구 사당동 257-9,37.48480179,126.9731693,"에어컨, 냉장고, 세탁기, 인덕션, 옷장, 싱크대",open,0,2016.11.29,2024/11/18 12:50,다중주택,1026,13,37,34,총신대입구(이수)역
42850455,월세,원룸,오픈형원룸,"풀옵션이 완비되어 편리한 오픈형 원룸, 즉시 입주 가능","?? 매물 특징 ??
- 깔끔하고 깨끗한 오픈형 원룸입니다. 
- 에어컨, 냉장고, 세탁기, 싱크대 등 필요한 가전 제품이 모두 구비되어 있어요.
- 즉시 입주 가능합니다. 이사 준비만 하시면 됩니다!
- 신선하고 밝은 분위기의 인테리어로, 편안한 생활을 보장해 드립니다.

?? 주변 정보 ??
- 주변에 편의점, 식당, 카페 등이 있어 생활이 편리합니다.

이 깔끔하고 편안한 원룸에서 새로운 시작을 준비해보세요!

*참고용사진 : 구조참고용 현재내부 상태는 상이할 수 있습니다.
*공부상 면적과 실면적(평수)은 차이가 있을 수 있습니다.
*참고사항 : 건축물대장상 주차정보와 실제주차가능여부는 상이할 수 있습니다.",500,35,6,16.5,2,4,1,S,즉시 입주 가능,FALSE,주차 불가능,서울시 강북구 미아동,강북구 미아동 158-93,37.63407606,127.0257643,"에어컨, 냉장고, 세탁기, 인덕션, 싱크대",open,0,2010.11.19,2024/12/30 18:09,고시원,639,9,33,30,수유역
